CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-3-30,13,11,8,10,6,1,94,69,33,1016,1011,1005,31,10,2,29,21,,2.03,7,Rain,281
2015-3-31,13,11,9,11,4,-1,88,58,27,1021,1013,1006,27,12,6,45,34,74,0.00,8,Rain,277
2015-4-1,12,8,5,3,0,-3,81,53,26,1028,1025,1021,19,12,10,27,21,48,0.51,7,,293
2015-4-2,11,9,7,10,6,2,94,81,57,1026,1022,1019,26,10,3,35,19,,2.03,8,Rain,292
2015-4-3,11,9,7,9,7,4,100,87,70,1025,1019,1015,23,10,3,16,8,,6.10,8,Rain,200
2015-4-4,10,8,5,8,6,1,95,82,57,1023,1017,1015,29,10,3,26,10,,0.25,8,Rain,6
2015-4-5,11,7,2,2,0,-2,93,64,31,1027,1025,1023,31,13,10,23,16,,0.00,3,,34
2015-4-6,14,7,1,6,2,-2,93,63,26,1033,1030,1027,26,11,6,16,10,,0.00,7,,20
2015-4-7,15,9,2,6,1,-3,93,58,20,1038,1035,1033,31,10,3,13,8,,0.00,,,74
2015-4-8,17,9,2,5,2,0,93,58,25,1035,1032,1029,23,9,2,13,6,,0.00,,,55
2015-4-9,20,12,3,5,3,1,93,54,17,1029,1026,1023,26,9,2,11,6,,0.00,,,48
2015-4-10,22,13,5,7,4,1,76,49,16,1024,1020,1016,24,10,5,23,10,,0.00,8,,191
2015-4-11,16,13,9,10,8,6,88,69,40,1029,1022,1018,23,11,10,29,21,,0.00,8,Rain,247
2015-4-12,19,11,3,8,7,3,100,70,33,1031,1029,1027,29,9,0,21,6,,0.00,5,Fog,262
2015-4-13,21,13,5,9,7,4,93,65,35,1034,1031,1029,31,12,2,13,3,,0.00,1,,38
2015-4-14,25,17,8,9,7,4,93,54,19,1031,1028,1023,19,11,5,11,6,,0.00,,,112
2015-4-15,27,18,8,9,7,4,82,49,15,1023,1018,1014,27,11,2,19,6,,0.00,,,16
2015-4-16,24,17,9,10,7,3,82,50,19,1015,1012,1010,18,10,5,16,6,,0.00,8,,105
2015-4-17,19,16,12,10,7,2,88,58,33,1020,1014,1011,19,10,2,24,8,,0.00,7,Rain,24
2015-4-18,16,11,6,3,1,-2,71,45,19,1024,1022,1020,27,13,10,34,21,,0.00,8,,56
2015-4-19,17,11,4,3,1,-1,70,45,21,1022,1020,1017,31,13,10,29,18,58,0.00,,,33
2015-4-20,21,13,6,3,2,0,81,46,15,1028,1024,1021,29,12,10,26,13,,0.00,8,,35
2015-4-21,22,14,7,7,5,2,81,50,21,1030,1028,1027,29,12,6,21,11,,0.00,,,27
2015-4-22,21,13,7,8,4,-1,81,52,15,1029,1025,1021,27,12,8,27,16,,0.00,,,32
2015-4-23,21,13,6,6,4,2,87,55,18,1022,1018,1015,31,10,5,14,10,,0.00,,,32
2015-4-24,21,13,6,13,8,3,82,62,38,1016,1014,1011,24,12,10,21,8,,0.25,6,Rain,203
2015-4-25,18,15,12,12,11,9,94,72,45,1012,1009,1008,19,10,5,21,10,,1.02,7,Rain-Thunderstorm,229
2015-4-26,16,13,11,12,11,9,94,81,62,1010,1007,1004,29,11,2,13,8,,6.10,7,Rain,245
2015-4-27,14,11,9,11,5,0,94,66,31,1013,1007,1004,31,10,5,24,14,45,0.00,7,Rain,358
2015-4-28,14,9,4,4,2,-1,87,57,24,1022,1019,1013,26,11,10,21,11,,0.00,5,,291
2015-4-29,16,9,3,7,2,-1,93,58,20,1022,1018,1015,26,11,8,23,10,,1.02,8,Rain,229
2015-4-30,11,9,8,9,8,6,94,86,76,1017,1014,1011,23,10,3,19,11,,13.97,7,Rain,224
2015-5-1,11,9,8,9,8,7,94,87,73,1011,1007,1005,26,10,6,24,14,,2.03,8,Rain,61
2015-5-2,14,11,8,12,9,7,94,87,76,1012,1009,1004,27,11,3,19,8,,0.76,8,Rain,130
2015-5-3,20,16,12,15,12,9,100,81,44,1007,1004,1003,18,9,2,27,13,,6.10,7,Rain,207
2015-5-4,19,15,11,17,11,9,94,73,45,1010,1005,995,29,11,5,21,14,,3.05,7,Rain,173
2015-5-5,19,17,14,16,10,2,88,62,27,1011,1002,995,31,11,3,40,21,63,0.76,6,Rain,219
2015-5-6,17,13,9,8,6,3,76,58,31,1018,1013,1011,31,11,6,40,24,53,0.25,6,Rain,230
2015-5-7,17,12,7,7,4,2,87,55,26,1021,1019,1017,19,11,10,21,11,,0.00,5,,225
2015-5-8,19,14,8,11,8,5,82,61,38,1017,1015,1013,19,10,10,19,8,,0.00,7,,120
2015-5-9,21,17,13,11,9,5,82,57,30,1025,1021,1016,19,10,10,26,18,42,0.00,6,,247
2015-5-10,23,17,10,12,10,8,94,62,30,1027,1025,1023,23,11,10,16,8,,0.00,6,,155
2015-5-11,27,19,11,14,11,9,88,59,23,1023,1020,1018,31,11,10,14,8,,0.00,8,,120
2015-5-12,21,17,13,15,10,6,88,64,35,1024,1020,1017,23,11,10,19,10,,0.00,6,,334
2015-5-13,21,13,7,11,8,4,87,60,40,1025,1019,1014,19,11,10,16,8,,0.51,7,Rain,42
2015-5-14,17,13,10,12,9,7,94,73,57,1015,1013,1009,29,11,1,24,10,50,5.08,8,Fog-Rain,2
2015-5-15,16,12,8,9,8,6,94,76,52,1025,1019,1013,27,12,10,24,8,,0.00,7,,342
2015-5-16,18,12,7,12,8,5,93,73,37,1029,1026,1025,31,11,6,21,8,,0.00,7,,277
2015-5-17,19,13,7,8,6,4,87,61,26,1029,1026,1022,29,12,10,11,8,,0.00,3,,281
2015-5-18,20,13,6,10,7,4,94,65,29,1022,1013,1007,31,12,6,26,10,42,2.03,7,Rain,249
2015-5-19,16,11,7,8,5,3,87,67,36,1013,1011,1010,19,10,10,29,18,50,2.03,5,Rain-Thunderstorm,256
2015-5-20,15,10,6,6,4,1,87,66,32,1023,1017,1013,31,11,10,21,11,,0.51,4,Rain,283
2015-5-21,18,12,6,8,5,3,93,59,28,1029,1026,1023,24,11,10,13,6,,0.00,4,,314
2015-5-22,19,12,6,9,7,4,93,63,29,1030,1027,1024,27,13,10,13,5,,0.00,3,,313
2015-5-23,22,17,11,13,11,9,88,71,33,1025,1022,1020,31,11,10,19,8,,0.00,7,,2
2015-5-24,21,16,10,12,9,7,88,62,32,1022,1020,1018,26,12,10,13,8,,0.00,7,,348
2015-5-25,19,16,12,13,10,5,94,69,37,1020,1018,1016,31,11,5,24,11,35,1.02,7,Rain,319
2015-5-26,18,14,11,8,7,6,77,58,36,1025,1022,1020,27,11,10,19,10,,0.00,7,,346
2015-5-27,22,14,8,10,7,6,94,58,25,1026,1024,1020,24,12,5,11,5,,0.00,4,,293
2015-5-28,19,16,12,11,9,8,77,62,41,1020,1017,1016,31,14,10,19,8,,0.00,7,,288
2015-5-29,19,15,11,9,7,4,82,57,32,1017,1013,1011,19,11,10,26,10,,0.51,7,,266
2015-5-30,19,14,10,11,6,3,88,57,25,1018,1016,1013,19,10,10,23,13,,0.51,6,Rain,264
2015-5-31,18,14,12,15,11,5,94,73,42,1017,1014,1012,29,11,3,27,14,45,4.06,7,Rain,213
2015-6-1,18,13,8,10,6,3,88,60,27,1020,1017,1015,31,15,10,23,11,,0.25,7,,253
2015-6-2,24,18,13,13,10,5,72,57,38,1018,1015,1013,29,13,10,37,24,58,0.00,7,Rain,227
2015-6-3,21,17,13,13,9,7,82,58,32,1027,1023,1018,19,12,6,29,18,,0.00,8,Rain,297
2015-6-4,26,18,9,13,9,6,87,55,25,1028,1024,1019,19,19,18,14,10,,0.00,,,67
2015-6-5,33,24,15,20,15,11,82,59,25,1020,1017,1014,31,17,10,32,11,,0.00,5,,76
2015-6-6,22,17,12,12,7,3,77,52,19,1029,1025,1020,19,13,10,14,10,,0.00,1,,326
2015-6-7,22,14,7,9,7,4,87,55,31,1031,1029,1027,19,17,10,19,10,,0.00,1,,18
2015-6-8,20,14,9,7,6,4,82,52,29,1029,1027,1025,31,22,18,26,18,48,0.00,,,15
2015-6-9,19,14,10,7,6,5,76,54,30,1027,1025,1023,29,14,10,32,23,42,0.00,4,,23
2015-6-10,24,17,9,12,8,4,71,52,30,1025,1022,1019,31,16,10,32,21,,0.00,5,,49
2015-6-11,29,22,15,16,14,11,77,58,32,1020,1015,1010,27,22,10,21,13,,0.00,7,,67
2015-6-12,27,22,18,17,15,13,83,59,33,1011,1009,1008,26,14,10,29,13,,0.00,5,,197
2015-6-13,26,21,16,12,11,9,77,52,25,1013,1012,1011,31,17,10,21,13,,0.00,8,,279
2015-6-14,24,18,12,13,11,9,82,58,32,1013,1012,1010,19,19,18,19,10,,0.00,8,,360
2015-6-15,20,17,14,13,12,11,88,68,47,1021,1017,1014,29,11,6,19,13,,0.00,8,,4
2015-6-16,21,16,10,10,7,5,82,53,25,1025,1023,1021,19,14,10,23,13,,0.00,3,,3
2015-6-17,25,18,11,13,9,5,76,52,27,1027,1025,1022,19,15,10,19,8,,0.00,4,,332
2015-6-18,21,18,16,16,14,10,94,74,43,1023,1021,1019,26,10,6,19,14,,0.00,7,,301
2015-6-19,22,16,9,11,9,6,94,60,25,1023,1021,1020,29,14,10,19,8,,0.25,5,,327
2015-6-20,22,17,12,12,10,7,88,61,36,1023,1022,1021,31,14,10,14,6,,0.00,7,,308
2015-6-21,23,19,16,14,12,8,82,63,28,1021,1019,1016,29,12,10,23,10,39,0.00,7,,281
2015-6-22,18,16,13,13,10,9,94,73,46,1018,1014,1010,31,12,2,24,11,,6.10,7,Rain,263
2015-6-23,20,14,9,10,8,7,94,66,33,1021,1017,1013,24,12,10,19,11,,0.00,6,,316
2015-6-24,24,17,9,10,8,7,94,58,23,1023,1022,1021,27,15,10,13,5,,0.00,3,,38
2015-6-25,28,21,14,12,10,8,82,48,19,1023,1022,1021,27,22,18,13,6,,0.00,8,,322
2015-6-26,32,23,14,14,11,9,82,45,17,1022,1019,1016,27,19,10,21,8,,0.00,8,,239
2015-6-27,25,21,16,14,11,7,82,52,23,1023,1020,1017,27,12,10,19,13,37,0.00,7,,323
2015-6-28,30,21,12,13,9,8,82,46,15,1023,1021,1018,19,19,19,21,6,,0.00,,,297
2015-6-29,28,22,16,13,9,5,72,45,14,1024,1022,1021,19,18,16,13,8,,0.00,8,,344
2015-6-30,33,24,15,13,10,3,82,42,8,1022,1019,1015,26,21,19,19,10,,0.00,,,70
2015-7-1,39,28,18,16,14,12,68,39,14,1015,1013,1011,19,13,6,24,11,,0.00,1,,127
2015-7-2,31,26,20,18,17,14,78,54,28,1022,1017,1014,29,17,10,19,10,,0.00,3,Thunderstorm,351
2015-7-3,36,27,17,19,17,15,88,55,22,1025,1021,1015,31,21,16,26,13,,0.00,,,54
2015-7-4,33,28,23,19,17,16,73,50,28,1020,1018,1015,27,17,10,19,6,,0.00,7,,354
2015-7-5,25,21,17,16,13,11,73,57,35,1021,1018,1015,19,13,10,23,11,,0.00,7,Rain-Thunderstorm,351
2015-7-6,31,22,14,13,11,7,82,48,14,1023,1020,1015,31,22,18,16,6,,0.00,,,141
2015-7-7,28,22,17,16,13,11,88,56,28,1015,1012,1010,19,10,5,24,10,,1.02,6,Rain,285
2015-7-8,19,17,14,13,11,9,77,60,43,1019,1016,1013,29,11,10,29,19,,0.00,7,,267
2015-7-9,23,18,13,11,8,5,88,53,22,1025,1022,1019,27,14,10,26,14,,0.00,4,,325
2015-7-10,29,19,9,9,6,4,76,41,12,1025,1020,1014,19,16,6,23,10,,0.00,,,76
2015-7-11,27,20,14,13,10,6,67,46,28,1021,1017,1013,26,20,19,26,10,,0.00,,,320
2015-7-12,24,18,13,13,11,9,82,59,35,1022,1021,1020,27,11,10,19,6,,0.25,7,Rain,288
2015-7-13,26,22,18,15,13,10,73,56,39,1021,1019,1018,10,10,9,23,11,,0.00,7,,267
2015-7-14,26,22,18,15,14,13,77,60,36,1021,1020,1019,31,12,10,19,10,,0.00,7,,280
2015-7-15,31,23,16,17,14,13,88,57,25,1022,1019,1016,29,14,10,16,6,35,0.00,4,,318
2015-7-16,36,26,17,17,14,9,88,50,13,1019,1014,1009,26,17,10,24,11,,0.00,8,Thunderstorm,89
2015-7-17,29,24,20,17,16,13,78,54,30,1017,1014,1010,27,13,10,24,14,,0.00,5,,245
2015-7-18,29,22,16,16,12,10,78,52,24,1020,1017,1013,19,11,10,14,8,,9.91,7,Rain-Thunderstorm,357
2015-7-19,26,21,15,17,15,13,94,70,42,1015,1012,1011,31,12,5,26,11,,9.91,8,Rain-Thunderstorm,276
2015-7-20,26,23,19,19,18,16,94,73,50,1015,1014,1013,11,10,6,21,11,,0.00,8,Rain,226
2015-7-21,30,24,19,19,17,16,83,61,36,1016,1015,1013,19,11,10,19,11,,0.00,6,,241
2015-7-22,27,23,18,17,12,9,78,52,24,1018,1016,1015,19,10,5,24,10,,0.00,7,Rain,330
2015-7-23,25,20,16,12,10,8,77,49,25,1020,1018,1015,19,13,8,14,10,,0.00,5,,319
2015-7-24,27,21,15,16,12,9,69,52,26,1016,1009,1003,10,10,10,27,11,,0.25,8,Rain,164
2015-7-25,22,18,14,16,9,4,83,54,27,1020,1012,1003,29,11,10,37,24,55,0.00,7,Rain,284
2015-7-26,19,14,9,13,9,5,88,68,38,1020,1012,1004,27,11,10,29,10,39,4.06,8,Rain,164
2015-7-27,22,18,14,15,12,10,94,67,37,1010,1007,1004,27,10,3,34,19,53,0.51,7,Rain,247
2015-7-28,18,16,13,11,9,7,88,61,39,1013,1011,1010,19,11,10,29,19,,0.00,8,Rain,250
2015-7-29,22,17,11,10,8,4,88,56,24,1016,1013,1011,19,12,10,24,13,,0.00,7,,278
2015-7-30,22,16,11,10,7,4,82,53,23,1020,1018,1016,19,11,10,19,11,,0.00,5,,295
2015-7-31,23,16,8,8,6,4,87,51,20,1021,1018,1014,31,25,19,16,8,45,0.00,8,,33
2015-8-1,26,19,12,9,7,4,72,43,15,1019,1015,1014,19,19,19,19,8,34,0.00,8,,354
2015-8-2,30,20,10,10,7,6,76,42,14,1020,1017,1013,19,19,18,16,8,,0.00,,,86
2015-8-3,34,25,16,13,9,3,64,34,11,1015,1013,1010,31,20,10,24,8,35,0.00,,Thunderstorm,220
2015-8-4,26,21,17,17,11,5,83,53,18,1018,1015,1011,19,11,10,23,11,,0.51,7,Rain-Thunderstorm,303
2015-8-5,31,21,12,13,11,9,82,48,22,1018,1014,1011,27,25,19,19,10,,0.00,8,,139
2015-8-6,31,24,18,15,13,10,73,48,20,1016,1014,1012,27,19,10,19,8,,0.00,1,,287
2015-8-7,28,21,14,16,13,9,77,54,30,1019,1016,1015,18,11,10,19,10,,0.00,6,Rain-Thunderstorm,359
2015-8-8,28,21,15,13,11,11,72,49,25,1023,1021,1019,19,19,19,19,10,,0.00,8,,16
2015-8-9,27,22,18,16,13,9,83,55,28,1022,1020,1019,26,13,10,14,10,,1.02,8,Rain,17
2015-8-10,28,21,14,15,13,10,72,54,31,1021,1019,1016,19,19,19,16,6,,0.00,8,,354
2015-8-11,29,23,17,17,16,14,88,61,32,1019,1017,1016,19,12,10,24,10,,0.00,7,,30
2015-8-12,33,26,19,18,16,14,78,54,28,1019,1017,1015,31,18,10,19,13,,0.00,8,,43
2015-8-13,30,24,19,19,17,14,94,60,28,1016,1012,1008,27,12,6,24,13,,2.03,7,Rain-Thunderstorm,96
2015-8-14,27,22,18,18,16,13,94,75,34,1010,1008,1005,31,12,10,32,10,,5.08,7,Rain,204
2015-8-15,21,18,16,17,13,8,94,72,33,1016,1011,1007,29,12,6,23,13,,2.03,8,Rain,286
2015-8-16,22,17,12,12,11,8,94,63,35,1016,1016,1015,26,12,10,11,6,,0.00,7,,337
2015-8-17,21,18,15,11,9,7,72,55,29,1017,1016,1015,19,13,10,16,8,,0.00,8,,10
2015-8-18,21,17,13,11,9,7,88,60,29,1018,1016,1015,31,26,19,13,5,,0.00,8,,266
2015-8-19,26,19,12,12,9,7,88,54,22,1020,1019,1018,27,18,10,16,6,,0.25,8,,103
2015-8-20,23,19,16,16,15,12,94,77,47,1024,1022,1020,26,11,5,14,5,,5.08,8,Rain,241
2015-8-21,29,22,14,16,15,14,100,65,29,1024,1022,1019,27,9,3,13,6,,0.00,6,,93
2015-8-22,30,23,16,15,12,9,82,50,18,1019,1015,1009,18,18,18,21,11,39,0.00,,,90
2015-8-23,23,19,16,16,12,10,78,57,36,1009,1005,1003,19,12,10,21,10,,1.02,7,Rain-Thunderstorm,201
2015-8-24,21,17,13,16,13,10,94,76,44,1009,1001,997,31,11,5,47,19,71,5.08,7,Rain,182
2015-8-25,20,16,12,16,12,9,83,71,50,1017,1015,1009,19,11,10,37,24,,0.25,7,Rain,215
2015-8-26,29,22,16,16,14,13,88,62,27,1015,1012,1007,29,11,10,34,18,52,0.25,4,Rain,198
2015-8-27,15,14,14,16,13,12,94,85,65,1013,1011,1010,16,9,5,27,14,,18.03,8,Rain,205
2015-8-28,21,17,13,14,13,11,100,75,44,1021,1017,1013,26,10,1,8,3,,0.00,6,Fog,38
