AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-4-26,23,18,14,16,14,12,94,72,44,1031,1029,1027,31,12,10,24,11,,0.00,2,,5
2016-4-27,25,20,15,17,14,10,88,69,31,1028,1025,1023,31,13,10,34,14,,0.00,1,,356
2016-4-28,26,21,16,19,16,13,94,73,35,1025,1023,1021,31,15,10,21,11,,0.00,4,,351
2016-4-29,26,21,16,18,16,13,88,69,35,1023,1020,1017,26,15,9,23,11,,0.00,4,,351
2016-4-30,27,22,18,18,16,14,94,68,39,1019,1017,1015,31,17,10,26,10,,0.00,5,Rain,340
2016-5-1,28,22,17,18,13,4,94,60,14,1015,1012,1008,31,14,8,37,18,55,0.00,5,Rain,319
2016-5-2,23,18,13,16,8,4,82,49,23,1017,1014,1011,31,27,10,24,14,,0.25,1,,282
2016-5-3,26,19,12,11,6,0,77,41,10,1013,1010,1005,31,29,26,32,14,,0.00,,,316
2016-5-4,25,20,16,17,10,6,88,54,23,1019,1014,1010,31,22,10,19,14,,0.00,2,,296
2016-5-5,24,19,13,16,11,5,88,61,26,1021,1018,1016,31,16,10,26,13,,0.00,1,,340
2016-5-6,24,19,13,14,11,7,88,63,24,1020,1018,1016,26,23,19,21,13,,0.00,,,325
2016-5-7,24,18,12,18,13,9,94,70,37,1021,1019,1018,26,11,5,21,11,,0.00,5,,355
2016-5-8,22,19,16,17,16,15,100,82,63,1019,1015,1012,19,9,4,14,6,,0.00,7,Rain,322
2016-5-9,23,20,18,18,17,10,100,75,41,1011,1006,1002,26,9,1,32,14,,0.51,6,Rain,9
2016-5-10,25,21,17,11,7,5,68,40,21,1012,1006,1003,31,20,10,52,26,71,0.00,1,,310
2016-5-11,23,18,13,5,2,-7,54,33,8,1015,1013,1012,31,29,26,37,21,,0.00,,,282
2016-5-12,25,19,13,9,6,2,59,42,19,1019,1015,1012,31,31,31,35,21,,0.00,,,307
2016-5-13,25,19,13,16,9,6,88,53,21,1023,1020,1018,31,30,26,23,16,,0.00,,,285
2016-5-14,26,19,12,13,8,2,77,51,14,1024,1021,1018,31,30,26,21,13,,0.00,,,328
2016-5-15,25,19,12,11,7,3,67,42,17,1019,1016,1013,31,27,26,21,13,,0.00,,,324
2016-5-16,24,18,12,15,12,8,77,60,39,1021,1019,1017,26,13,10,34,13,,0.00,2,,354
2016-5-17,29,21,14,12,7,1,72,40,10,1018,1016,1013,31,28,26,27,14,,0.00,,,295
2016-5-18,22,18,13,7,4,1,55,37,14,1019,1017,1014,31,22,10,29,13,50,0.00,6,,303
2016-5-19,24,18,12,7,4,2,62,40,15,1018,1015,1013,31,14,5,35,21,,0.00,3,,294
2016-5-20,22,17,12,14,10,6,82,65,41,1024,1020,1016,31,14,10,27,10,,0.00,1,,176
